Country,Year,HALE,CO₂ pc,Happy Score,GNI pc PPP$
Ireland,2019,71.07,7.623673,7.021100044,69690
Israel,2010,71.42,9.318069,7.358916283,28770
Israel,2015,71.84,7.8597527,7.07941103,35560
Israel,2019,72.38,6.812934,7.138700008,40710
Italy,2010,71.14,7.290197,6.354238033,35080
Italy,2015,71.56,5.9961104,5.847683907,36640
Italy,2019,71.92,5.679641,6.223400116,46190
Jamaica,2019,66.55,2.7803972,5.889800072,10380
Japan,2010,72.97,9.484828,6.056752682,36280
Japan,2015,73.62,9.615686,5.879684448,42510
Japan,2019,74.09,8.792438,5.886099815,43930
Jordan,2010,66.67,2.9742525,5.569942474,9830
Jordan,2015,67.59,2.6918647,5.404593468,9130
Jordan,2019,67.6,2.4608672,4.905700207,9940
Kazakhstan,2010,60.45,14.853569,5.514286518,16710
Kazakhstan,2015,63.35,16.891382,5.949995041,21760
Kazakhstan,2019,64.99,15.866767,5.808800221,24040
Kenya,2010,53.53,0.28288323,4.255859375,2320
Kenya,2015,56.08,0.3478116,4.357617855,3390
Kenya,2019,57.68,0.37638173,4.508600235,4720
Kuwait,2010,69.21,30.330011,6.798151016,81330
Kuwait,2015,70.23,23.651518,6.146031857,51480
Laos,2019,60.51,2.7171376,4.796299934,7700
Latvia,2015,65.76,3.6457217,5.880597591,24860
Latvia,2019,66.25,3.9908507,5.939700127,32450
Lebanon,2010,65.4,4.002682,5.031899452,14640
Lebanon,2015,65.67,4.0216894,5.171971321,15220
Lebanon,2019,65.96,4.5660133,5.197299957,17480
Liberia,2010,52.05,0.18828554,4.196063042,900
Liberia,2015,52.47,0.26089266,2.701591253,1160
Libya,2015,64.35,8.809524,5.615404606,22730
Lithuania,2010,64.25,4.4429817,5.065824986,19970
Lithuania,2015,65.28,4.494177,5.711378098,27790
Lithuania,2019,66.69,4.886943,6.149000168,38560
Luxembourg,2010,70.48,22.09173,7.097251892,61410
Luxembourg,2015,71.53,16.41591,6.701571465,69410
Madagascar,2015,56.3,0.12987387,3.592514038,1450
Malawi,2015,54.89,0.063246265,3.86763835,1390
Malawi,2019,57.06,0.084429234,3.409800053,1550
Malaysia,2010,65.38,7.5192285,5.580281734,19510
Malaysia,2015,65.78,7.5864425,6.322121143,23510
Malaysia,2019,65.66,8.20496,5.338799954,28090
Mali,2010,51.34,0.13448744,3.762305021,1660
Mali,2015,52.98,0.18056652,4.582098484,1910
Mali,2019,54.63,0.187366,4.390399933,2220
Malta,2010,70.41,6.1828814,5.77387476,27240
Malta,2015,71.32,3.647275,6.61339426,35390
Malta,2019,71.46,3.2745082,6.725599766,45180
Mauritania,2010,57.42,0.59790456,4.772306919,4130
Mauritania,2015,58.95,0.7608522,3.922664165,4180
Mauritius,2019,63.94,3.4879518,5.888199806,25250
Mexico,2010,65.13,4.121324,6.802388668,15280
Mexico,2015,65.76,3.9910128,6.236287117,18080
Mexico,2019,65.76,3.7749555,6.594500065,19630
Mongolia,2010,57.77,5.096089,4.585523605,7020
Mongolia,2015,59.85,7.853016,4.982719898,9870
Mongolia,2019,60.29,14.618863,5.285399914,11550
Montenegro,2010,66.17,3.8379078,5.455030441,13540
Montenegro,2015,66.64,3.5312514,5.124921322,16690
Montenegro,2019,66.97,3.9290168,5.522900105,24060
Morocco,2010,62.53,1.6745857,4.383247375,6760
Morocco,2015,63.29,1.6866901,5.163156986,7550
Morocco,2019,63.69,1.8897853,5.208099842,8440
Mozambique,2015,48.6,0.23517631,4.549767494,1280
Mozambique,2019,50.36,0.23598108,4.466199875,1320
Myanmar,2015,59.56,0.42512554,4.223846436,4030
Myanmar,2019,60.85,0.6525071,4.3604002,4870
Namibia,2019,56.06,1.6786424,4.639200211,10180
Nepal,2010,59.95,0.17761505,4.349675179,2170
Nepal,2015,60.17,0.25007516,4.812436581,2970
Nepal,2019,61.34,0.46573588,4.912700176,4130
Netherlands,2010,70.9,10.924079,7.501875877,44640
Netherlands,2015,71.12,9.632149,7.324437141,49780
Netherlands,2019,71.44,8.813599,7.48759985,58980
New Zealand,2010,69.78,8.009277,7.223756313,29670
New Zealand,2015,69.89,7.8014154,7.418120861,36240
New Zealand,2019,70.24,7.4855385,7.307499886,44720
Nicaragua,2010,64.7,0.76298606,5.68669939,3850
Nicaragua,2015,65.16,0.8622463,5.924112797,5030
Nicaragua,2019,65.46,0.78321993,6.105000019,5420
Niger,2010,51.86,0.07029048,4.101016045,1110
Niger,2015,54.14,0.109659605,3.671453714,1190
Nigeria,2010,51.5,0.69780815,4.760275841,4380
Nigeria,2015,53.13,0.59366477,4.932914734,5200
Nigeria,2019,54.39,0.6261749,5.2645998,5120
Norway,2015,71.23,8.783596,7.603433609,63250
Norway,2019,71.36,7.9995737,7.553899765,72050
Pakistan,2010,54.49,0.7914893,5.786132813,3970
Pakistan,2015,55.78,0.7887914,4.823194981,4580
Pakistan,2019,56.87,0.9228277,5.652999878,5280
Panama,2010,67.47,2.5035996,7.3214674,14590
Panama,2015,68.28,2.7263486,6.605550289,24700
Panama,2019,68.68,3.1705666,6.32130003,32060
Paraguay,2010,65.23,0.87053657,5.841174126,10270
Paraguay,2015,65.63,0.9789061,5.559724331,11960
Paraguay,2019,65.8,1.2625307,5.7427001,13750
Peru,2010,67.48,1.9560134,5.612785339,8950
Peru,2015,68.85,1.6028944,5.577263355,11090
Peru,2019,69.5,1.7572007,5.697100163,12800
Philippines,2010,61.57,0.8765382,4.941514015,6210
Philippines,2015,61.91,1.0914071,5.547489166,7940
Philippines,2019,62.0,1.3157338,5.631400108,10010
Poland,2010,67.13,8.6772,5.887029648,20200
Poland,2015,68.03,8.130483,6.007021904,25820
Poland,2019,68.66,8.273783,6.18170023,33510
Portugal,2010,69.34,5.0056057,5.094525814,26390
Portugal,2015,70.49,5.042749,5.080866337,28870
Portugal,2019,70.96,4.6277156,5.692500114,36330
Qatar,2010,64.72,41.972393,6.849652767,128270
Qatar,2015,66.44,37.823303,6.374529362,96610
Moldova,2010,61.04,1.3133934,5.589736462,6790
Moldova,2015,62.86,1.4590147,6.017472267,9850
Moldova,2019,64.54,1.7657733,5.52850008,14020
Romania,2010,65.43,4.161877,4.909165859,17150
Romania,2015,66.28,3.9182136,5.777491093,21400
Romania,2019,66.85,3.9453893,6.069699764,32600
Russia,2010,60.48,11.352681,5.384773254,19860
Russia,2015,62.67,11.265164,5.995538712,23420
Russia,2019,64.21,11.612027,5.647900105,29120
Rwanda,2015,58.87,0.083328016,3.483108997,1730
Saudi Arabia,2010,62.19,17.602243,6.307098389,48640
Saudi Arabia,2015,63.2,20.728325,6.345491886,49420
Saudi Arabia,2019,64.02,18.323465,6.374700069,49480
Senegal,2010,56.65,0.54767126,4.372156143,2660
Senegal,2015,58.17,0.68579584,4.61700058,2940
Senegal,2019,59.37,0.79755205,4.681099892,3480
Serbia,2010,65.66,5.9704633,4.461304188,12530
Serbia,2015,66.44,5.8218513,5.317685127,14230
Serbia,2019,66.88,5.9916444,5.603000164,18360
Sierra Leone,2010,47.76,0.08424691,4.133955956,1140
Sierra Leone,2015,49.7,0.14281224,4.908617973,1560
Sierra Leone,2019,52.92,0.14798374,4.374199867,1700
Singapore,2010,72.34,10.664346,6.531401634,74580
Singapore,2015,73.2,9.99393,6.619524956,81040
Singapore,2019,73.55,5.0996385,6.262000084,90900
Slovakia,2010,66.48,7.1165466,6.052223206,24870
Slovakia,2015,67.64,6.3542356,6.162004471,29320
Slovakia,2019,68.54,6.1929975,6.197599888,32650
Slovenia,2010,69.23,8.000568,6.082555294,27460
Slovenia,2015,70.04,6.5613613,5.740642071,30650
Slovenia,2019,70.74,6.6487336,6.1177001,41450
Somalia,2015,48.09,0.04578699,5.353644848,1080
South Africa,2010,49.61,8.937098,4.652428627,12520
South Africa,2015,54.11,7.9858437,4.887325764,13270
South Africa,2019,56.15,8.038351,4.722199917,14080
South Sudan,2015,53.02,0.17085552,4.070771217,1040
Spain,2010,71.03,6.104053,6.188262463,31220
Spain,2015,71.56,5.861658,6.380663395,34910
Spain,2019,72.09,5.343047,6.354100227,43190
Sri Lanka,2010,64.19,0.63144165,3.976905107,8230
Sri Lanka,2015,66.55,0.9293981,4.611606598,11710
Sri Lanka,2019,67.05,1.0263492,4.36590004,13820
Sudan,2010,57.73,0.42672288,4.435159683,3680
Sweden,2010,71.18,5.6799107,7.496018887,43370
Sweden,2015,71.43,4.4410806,7.28892231,49520
Sweden,2019,71.91,3.9913132,7.343299866,58110
Switzerland,2015,71.75,4.676776,7.572136879,65920
Switzerland,2019,72.52,4.283443,7.480199814,70150
Syria,2010,65.11,2.7181358,4.464707851,..
Syria,2015,56.34,1.4884069,3.46191287,..
Tajikistan,2010,60.86,0.3327849,4.380636215,2840
Tajikistan,2015,61.43,0.6220367,5.124210835,3700
Tajikistan,2019,62.01,1.0530323,5.467299938,4320
Thailand,2010,67.09,3.8345406,6.216702938,12440
Thailand,2015,68.02,4.117252,6.201762676,14670
Thailand,2019,68.26,4.070233,6.007999897,18070
Togo,2015,54.21,0.24933536,3.768301964,1910
Togo,2019,56.19,0.26749972,4.084899902,2170
Tunisia,2010,66.3,2.4874742,5.130520821,9960
Tunisia,2015,66.75,2.6186612,5.131611824,10200
Tunisia,2019,66.89,2.4652345,4.460599899,11280
Turkmenistan,2015,61.73,12.780063,5.791460037,12440
Uganda,2010,52.12,0.11037195,4.192882061,2060
Uganda,2015,56.29,0.120754786,4.237686634,2130
Uganda,2019,58.21,0.13997535,4.189400196,2280
Ukraine,2010,62.2,6.438073,5.057561398,8240
Ukraine,2015,63.79,4.975796,3.964542866,10590
Ukraine,2019,64.3,5.022646,4.33220005,13510
United Arab Emirates,2010,65.1,21.295267,7.097455502,65390
United Arab Emirates,2015,65.45,24.26593,6.568397522,70030
United Arab Emirates,2019,65.99,22.633892,6.824500084,75200
United Kingdom,2010,69.44,8.156536,7.029364109,36590
United Kingdom,2015,69.67,6.4770393,6.515445232,41670
United Kingdom,2019,70.13,5.4621234,7.05369997,49270
United States,2010,66.74,18.257408,7.16361618,49050
United States,2015,66.56,16.563307,6.863946915,58180
United States,2019,66.12,15.730885,6.892300129,66290
Uruguay,2010,67.15,1.8785003,6.062010765,17050
Uruguay,2015,67.54,1.9813055,6.628080368,21020
Uruguay,2019,67.51,1.8929877,6.293300152,23350
Uzbekistan,2010,62.33,3.6400359,5.095342159,5560
Uzbekistan,2015,63.46,3.3504968,5.972364426,6790
Uzbekistan,2019,64.68,3.6024542,6.174099922,7810
Zambia,2015,52.71,0.3117247,4.843164444,3290
Zambia,2019,54.4,0.42148867,4.106599808,3450
Zimbabwe,2010,45.22,0.6817886,4.681569576,1660
Zimbabwe,2015,51.17,0.8657724,3.70319128,2310
Zimbabwe,2019,53.07,0.72386146,3.663199902,2260
